,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
822,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-16,2021-07-20,2021-08-30,2021-09-06,2021-09-10,2021-09-08,54,7,4,7,1
826,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-06,2021-07-09,2021-08-12,2021-08-19,2021-08-19,2021-08-19,44,7,1,7,4
828,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-05-14,2021-05-14,2021-07-23,2021-08-12,2021-08-16,2021-08-18,96,5,4,5,4
834,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-27,2021-08-20,2021-09-07,2021-09-18,2021-09-20,2021-09-25,60,7,1,8,4
838,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-28,2021-05-28,2021-07-07,2021-07-25,2021-07-29,2021-07-30,63,5,4,5,4
839,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-10,2021-07-11,2021-09-11,1900-01-01,2021-09-17,2021-09-17,69,7,5,7,6
840,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",2021-06-28,2021-06-29,2021-08-17,2021-08-19,2021-09-03,2021-08-24,57,6,0,6,1
841,"Dallas, Texas, United States","Long Beach, California, United States","Busan, Busan, South Korea","Busan, Busan, South Korea",2021-06-28,2021-07-15,2021-08-07,2021-08-07,2021-08-24,2021-06-18,10,6,0,7,3
844,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-04,2021-08-04,2021-09-09,1900-01-01,2021-09-26,2021-09-17,44,8,2,8,2
845,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-19,2021-05-20,2021-07-15,2021-07-10,2021-08-01,2021-07-19,61,5,2,5,3
846,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-17,2021-06-19,2021-08-08,2021-08-20,2021-08-24,2021-08-23,67,6,3,6,5
860,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-16,2021-07-17,2021-09-02,2021-09-12,2021-09-16,2021-09-13,59,7,4,7,5
866,"Zhuhai, , China","Zhuhai, , China","Los Angeles, California, United States","Dallas, Texas, United States",2021-04-15,2021-04-15,2021-05-21,2021-06-01,2021-06-05,2021-06-17,63,4,3,4,3
867,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-17,2021-06-19,2021-08-08,2021-08-18,2021-08-22,2021-08-31,75,6,3,6,5
869,"Uran, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Los Angeles, California, United States","Los Angeles, California, United States",2021-04-28,2021-05-09,2021-07-13,2021-07-02,2021-07-30,2021-08-02,96,4,2,5,6
878,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-13,2021-05-14,2021-06-03,2021-06-15,2021-06-19,2021-06-22,40,5,3,5,4
879,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-16,2021-06-19,2021-08-08,2021-08-18,2021-08-22,2021-08-23,68,6,2,6,5
880,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-04-23,2021-05-07,2021-05-23,2021-06-18,2021-06-22,2021-06-23,61,4,4,5,4
881,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-29,2021-05-29,2021-07-19,2021-07-16,2021-08-05,2021-07-22,54,5,5,5,5
886,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-05-23,2021-05-23,2021-08-02,2021-08-07,2021-08-11,2021-08-12,81,5,6,5,6
888,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-24,2021-05-25,2021-06-23,2021-06-30,2021-07-04,2021-07-06,43,5,0,5,1
889,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",2021-07-08,2021-07-17,2021-09-23,2021-07-30,2021-10-10,2021-10-14,98,7,3,7,5
890,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-07-17,2021-07-27,2021-08-13,2021-08-20,2021-08-24,2021-08-26,40,7,5,7,1
891,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-22,2021-08-31,2021-09-26,2021-09-27,2021-09-28,2021-09-28,37,8,6,8,1
892,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-22,2021-07-23,2021-09-03,2021-09-09,2021-09-10,2021-09-10,50,7,3,7,4
893,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-12,2021-07-05,2021-07-29,2021-08-05,2021-08-09,2021-08-09,58,6,5,7,0
894,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-30,2021-05-31,2021-07-23,2021-07-20,2021-08-09,2021-07-27,58,5,6,5,0
895,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-21,2021-07-22,2021-09-08,2021-09-12,2021-09-16,2021-09-17,58,7,2,7,3
896,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-04,2021-08-04,2021-09-01,1900-01-01,2021-09-18,2021-09-08,35,8,2,8,2
897,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-08-02,2021-08-08,2021-09-19,2021-09-27,2021-10-01,2021-09-29,58,8,0,8,6
898,"Mawan, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Los Angeles, California, United States",2021-07-01,2021-07-01,2021-08-25,2021-09-01,2021-09-05,2021-09-01,62,7,3,7,3
901,"Dong Nai, , Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-05,2021-05-10,2021-06-03,2021-07-06,2021-07-10,2021-07-13,69,5,2,5,0
906,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-05,2021-06-12,2021-07-14,2021-07-22,2021-07-26,2021-07-29,54,6,5,6,5
909,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-01,2021-06-02,2021-07-26,2021-07-24,2021-08-12,2021-07-28,57,6,1,6,2
912,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Long Beach, California, United States","Long Beach, California, United States",2021-07-24,2021-07-29,2021-10-01,2021-10-07,2021-10-11,2021-10-22,90,7,5,7,3
914,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-06-03,2021-06-19,2021-07-20,2021-07-14,2021-08-06,2021-07-22,49,6,3,6,5
915,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2021-06-19,2021-07-05,2021-08-03,2021-08-10,2021-08-14,2021-08-17,59,6,5,7,0
919,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-07-06,2021-07-20,2021-08-13,2021-08-21,2021-08-23,2021-08-24,49,7,1,7,1
920,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-07-06,2021-07-20,2021-08-13,2021-08-21,2021-08-23,2021-08-24,49,7,1,7,1
921,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-16,2021-07-17,2021-08-29,2021-09-04,2021-09-08,2021-09-09,55,7,4,7,5
923,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-07,2021-07-08,2021-08-31,2021-08-29,2021-09-02,2021-09-03,58,7,2,7,3
925,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",2021-07-14,2021-07-15,2021-09-15,2021-09-15,2021-10-02,2021-09-29,77,7,2,7,3
927,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-14,2021-08-25,2021-10-13,2021-10-21,2021-10-20,2021-10-26,73,8,5,8,2
932,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Oakland, California, United States","Dallas, Texas, United States",2021-07-02,2021-07-06,2021-08-18,2021-09-04,2021-09-08,2021-09-10,70,7,4,7,1
933,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-15,2021-07-16,2021-08-24,1900-01-01,2021-09-10,2021-09-03,50,7,3,7,4
935,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",2021-08-10,2021-08-17,2021-10-23,2021-11-13,2021-11-15,2021-11-17,99,8,1,8,1
936,"Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-01,2021-07-01,2021-08-24,2021-09-04,2021-09-08,2021-09-13,74,7,3,7,3
940,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-28,2021-05-29,2021-07-19,2021-07-16,2021-08-05,2021-07-20,53,5,4,5,5
944,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-25,2021-08-09,2021-09-07,2021-09-15,2021-09-15,2021-09-16,53,7,6,8,0
946,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-28,2021-10-01,2021-11-15,2021-11-29,2021-11-29,2021-11-30,63,9,1,10,4
947,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-07-02,2021-07-03,2021-07-26,2021-07-30,2021-08-03,2021-08-04,33,7,4,7,5
958,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-09,2021-08-03,2021-09-05,1900-01-01,2021-09-22,2021-09-10,63,7,4,8,1
960,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-12,2021-09-18,2021-10-10,2021-10-17,2021-10-18,2021-10-20,38,9,6,9,5
962,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-19,2021-09-04,2021-10-05,1900-01-01,2021-10-11,2021-10-12,54,8,3,9,5
963,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-09-09,2021-09-17,2021-10-27,1900-01-01,2021-10-28,2021-10-29,50,9,3,9,4
964,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-09-06,2021-09-08,2021-10-12,1900-01-01,2021-10-18,2021-10-20,44,9,0,9,2
966,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-06-28,2021-07-01,2021-08-10,2021-08-16,2021-08-16,2021-08-19,52,6,0,7,3
967,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-03,2021-07-09,2021-08-12,2021-08-16,2021-08-20,2021-08-24,52,7,5,7,4
969,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",2021-06-30,2021-06-30,2021-09-12,2021-09-18,2021-09-21,2021-09-21,83,6,2,6,2
970,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-10-29,2021-12-21,2021-12-27,2021-12-29,2022-01-06,73,10,0,10,4
971,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-05-27,2021-06-07,2021-06-22,2021-07-20,2021-07-20,2021-07-27,61,5,3,6,0
974,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-09-09,2021-09-09,2021-10-21,1900-01-01,2021-10-26,2021-10-25,46,9,3,9,3
975,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-15,2021-09-02,2021-09-19,2021-09-26,2021-09-30,2021-09-29,45,8,6,9,3
976,"Dallas, Texas, United States","Los Angeles, California, United States","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",2021-08-17,2021-09-21,2021-10-08,2021-08-02,2021-10-25,2021-08-05,12,8,1,9,1
978,"Dallas, Texas, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","LONBEAEPI, California, United States",2021-07-08,2021-07-19,2021-08-19,2021-07-05,2021-09-05,2021-06-28,10,7,3,7,0
980,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-09-09,2021-09-17,2021-10-26,1900-01-01,2021-10-28,2021-10-29,50,9,3,9,4
987,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-20,2021-07-22,2021-09-06,2021-09-12,2021-09-16,2021-09-20,62,7,1,7,3
991,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-25,2021-08-09,2021-09-07,2021-09-15,2021-09-19,2021-09-17,54,7,6,8,0
993,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-03,2021-08-20,2021-09-28,1900-01-01,2021-09-29,2021-09-29,57,8,1,8,4
994,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-30,2021-07-30,2021-09-13,2021-09-19,2021-09-22,2021-09-24,56,7,4,7,4
995,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-08,2021-08-28,2021-09-17,2021-09-25,2021-09-24,2021-09-23,46,8,6,8,5
996,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-07-30,2021-07-31,2021-09-14,2021-09-19,2021-09-21,2021-09-23,55,7,4,7,5
997,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-06-09,2021-06-10,2021-07-17,2021-07-15,2021-08-03,2021-07-21,42,6,2,6,3
998,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-09,2021-09-11,2021-10-31,2021-11-06,2021-11-09,2021-11-12,64,9,3,9,5
999,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-09,2021-09-14,2021-10-31,2021-11-06,2021-11-08,2021-11-09,61,9,3,9,1
1004,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-09-23,2021-10-19,2021-11-14,2021-11-15,2021-11-16,2021-11-16,54,9,3,10,1
1005,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-09-01,2021-09-03,2021-10-08,1900-01-01,2021-10-12,2021-10-13,42,9,2,9,4
1006,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-09-21,2021-10-26,2021-11-03,2021-11-05,2021-11-08,50,9,6,9,1
1007,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-29,2021-09-21,2021-10-05,2021-10-13,2021-10-12,2021-10-13,45,8,6,9,1
1008,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-09-24,2021-10-15,2021-10-20,2021-10-25,2021-10-25,36,9,6,9,4
1009,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-08-09,2021-08-24,2021-09-20,1900-01-01,2021-09-23,2021-09-23,45,8,0,8,1
1010,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-29,2021-09-21,2021-10-05,2021-10-13,2021-10-12,2021-10-14,46,8,6,9,1
1011,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-10,2021-08-20,2021-09-10,2021-09-18,2021-09-20,2021-09-20,41,8,1,8,4
1012,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Long Beach, California, United States","Long Beach, California, United States",2021-07-24,2021-07-29,2021-09-29,2021-10-06,2021-10-10,2021-10-22,90,7,5,7,3
1014,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-23,2021-09-07,2021-10-08,2021-10-16,2021-10-15,2021-10-18,56,8,0,9,1
1015,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-10-02,2021-10-20,2021-10-28,2021-10-29,2021-10-29,40,9,6,10,5
1017,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-12,2021-09-18,2021-10-08,2021-10-18,2021-10-20,2021-10-26,44,9,6,9,5
1018,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-04,2021-09-10,2021-09-26,2021-10-06,2021-10-05,2021-10-05,31,9,5,9,4
1019,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-21,2021-08-27,2021-10-09,2021-10-16,2021-10-18,2021-10-19,59,8,5,8,4
1021,"Dallas, Texas, United States","Los Angeles, California, United States","Manila, National Capital Region, Philippines","Manila, National Capital Region, Philippines",2021-07-07,2021-07-21,2021-09-14,2021-09-17,2021-10-01,2021-06-30,7,7,2,7,2
1022,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-09-15,2021-09-24,2021-10-29,1900-01-01,2021-11-08,2021-11-08,54,9,2,9,4
1023,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-28,2021-08-01,2021-09-15,2021-09-20,2021-09-22,2021-09-27,61,7,2,8,6
1026,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-05-30,2021-05-31,2021-07-27,2021-07-24,2021-07-26,2021-08-02,64,5,6,5,0
1028,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-28,2021-08-01,2021-09-15,2021-09-20,2021-09-22,2021-09-22,56,7,2,8,6
1030,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-08-04,2021-08-09,2021-09-17,2021-09-25,2021-09-29,2021-09-29,56,8,2,8,0
1031,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-21,2021-09-27,2021-11-11,2021-11-16,2021-11-19,2021-11-19,59,9,1,9,0
1032,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-10-02,2021-10-20,2021-10-28,2021-10-29,2021-11-01,43,9,6,10,5
1034,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-28,2021-10-02,2021-11-15,2021-12-01,2021-12-02,2021-12-03,66,9,1,10,5
1035,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-23,2021-09-28,2021-11-11,2021-11-17,2021-11-19,2021-11-22,60,9,3,9,1
1036,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-21,2021-09-24,2021-11-11,2021-11-16,2021-11-18,2021-11-19,59,9,1,9,4
1037,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-27,2021-10-01,2021-11-15,2021-12-01,2021-12-02,2021-12-03,67,9,0,10,4
1040,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-09-21,2021-10-21,2021-10-31,2021-11-02,2021-11-03,45,9,6,9,1
1041,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-09-25,2021-09-25,2021-11-06,1900-01-01,2021-11-12,2021-11-12,48,9,5,9,5
1043,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-21,2021-09-26,2021-11-09,2021-11-20,2021-11-22,2021-11-23,63,9,1,9,6
1045,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-09-27,2021-10-03,2021-11-15,2021-11-25,2021-11-29,2021-11-30,64,9,0,10,6
1046,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-18,2021-08-30,2021-09-30,2021-10-08,2021-10-11,2021-10-12,55,8,2,8,0
1047,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Los Angeles, California, United States","Long Beach, California, United States",2021-06-27,2021-07-02,2021-09-03,2021-09-20,2021-09-24,2021-10-01,96,6,6,7,4
1049,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-08-31,2021-09-05,2021-09-24,2021-09-30,2021-10-01,2021-10-04,34,8,1,9,6
1050,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-30,2021-10-07,2021-10-25,2021-11-03,2021-11-04,2021-11-04,35,9,3,10,3
1051,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-17,2021-10-01,2021-10-27,2021-10-31,2021-11-02,2021-11-03,47,9,4,10,4
1053,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Savannah, Georgia, United States","Dallas, Texas, United States",2021-10-23,2021-10-23,2021-12-20,2021-12-25,2021-12-29,2022-01-07,76,10,5,10,5
1054,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-09-19,2021-09-24,2021-10-17,2021-10-24,2021-10-25,2021-10-25,36,9,6,9,4
